country_id,Country,Country Flag
12,Bangladesh,
13,Belarus,
14,Bolivia,
15,Brazil,"data:image/gif;base64,R0lGODlhbgBQAPdlAEaiT0aiT0aiT0aiT0aiT0aiT0aiT0aiT0aiT0aiT0aiT0WiT0WiT0WiT0WiT0WiT0WiT0WiT0WiT0WiT0WiT0WiT0WiT0WiT0WiT0WiT0WiT0WiT0WiT0WiT0WiUEWiUEWiUEWiUEaiUUejUkikVE2nW1SqY1quamGycWi2d264fHG6fnW8f3u+gH+/f4PAf4bBfonCfYzDe47DeZHEd5LDcpTDb5HCbI/BaYy/ZYq9X4W6W4K5WH63VXe0UXKyUG6wT2qvT2euTmKsTlupTlGmTkukTkmjTkmjTkijTkijTkijTkijTkijTkijTkeiT0eiT0eiT0aiT0aiT0WhT0ShT0ShT0OhT0OhT0OhT0KhT0KgT0GgT0CgTz+gTz+fTz2fTzyeTzueTzqeTzmdTzidTzidTzidTzedUDOdWCeecxufjBGgogugrwihtwehuQahuwWhvQWhvwWhwAeiwAmiwAqjvwyjvw2kvg6kvQ+kvRCkvRGlvBGlvBKlvBKlvBOmvRSmvRSmvRSmvRSmvRSmvRSmvRSmvRSmvRWmvRWmvRWmvRamvRamvRamvRamvRemvRemvBemvBenvBinvBinvRmovRuovR2pvh+pvh+qvyCqvyGqviSrvSaruyisuiutuy6uvDCvvTKwvTWwuzixuzuyuD2ytD+yrkazq0u1qVC2qFO4rFS5sla8vli+yF3AzGPDzmjF0G3G0nTJ1H7M043R0p3VzqrZzbbdy8DhzcXjz83m09Lo1dbq2Nrs2+Du3uTw4ubx5Onz5+v06+727fD27vH27PL02PTvtvbrl/jofPnlZ/riVvziT/3hSv7hRv7hRf7hRP7hQ/7hRP3gRvzgR/vgR/rfR/rfSPnfSPnfSPjfSPfeSfbeSfbeSfbeSfbeSfbeSfbeSfbeSfbeSfbeSfbeSfbeSfbeSfXdSfTdSvPdSvPdSvPdSvPdSvPdSvPdSvLdS/DcS+3bTOjaTuHYUNvWUdTUUs/SUsvRU8bPUcHNULrKTrLHTbbJTSH5BAkAAMYALAAAAABuAFAAAAj+AD8IHEiwoMGDCBMqXMiwocOHECNKnEixosWLGDNq3Mixo8ePIEOKHEmypMmTKFOq5LjAgIcoUTwYWLCyZkMPCQQ6AQPGicAEHmwKNWjggwcnWdD4+IFmgZOgNIcKxYnTyZgo/q5l82dgjJOiQKWqlJnzSJYxP+xBGzfumT0gZ5zi7CD25AKgUawW8ffs2rt0495Zs+bPiBgnMRNErRsy59EuY3zYe7ZuXbfL3Sq7/XFGS8wPdBl7pArzTJF+fd+N6zYuHWDWggkb8Qo0rOiMOHV6AcODHuXVbDGzBt7Wno8xWp5+KHrbYgK8Bs4Q4fdMm2XWl9kGx97tXbZn/4r+XE0cujnEu0GPePGyY97v4ePkyZ8vf11wts/q9UB+xKhL8w7RdNQCYwyxDzTc/MWaPOtgI800EEY4TTTaMAiYd8/0Ix5MOC0G4EG5GbCTFjq884xqC2ozjTT17EPDCyyw0EIMNegzD4SZsbZOfjyI4YVyzH1YkIBRLHCGEPg8w81166hITw2rcHLHHFRWOcceoKzQDzfTjGOZd9DwU8QZBiTmIYAd5JTATgv4w82JwL0zDT0xfDIHHXssQsmefE6CCB5z1IFKDddEI89wz9CzAxhd9PeBbc3JVJQTRgKBz1pMjjONDaDMoccklDyCyKikJoLIIo9QMsmUqeQzDYr+77zJDxFnJGBmpLVZdYQ/36GYGTbasEAHHqEuQuoiyCZrrKmLgEoHIjR0Gecz8+ywnqM5MeZYFFpENpmX2DU4zypzTOKnscqmmywiiRhLCSBzuCDtZU1Cs88Qcd06FHowjbHXM9agCBxrqcxByajoqqswuqdSMkcL09iXjo4n6tBFTz8FVRNzTnTrQz3P3Neal9WwYvCppy6s8iKmIuJwtO90MzF2z+SD7wKJZYtSSy9F4S9q11w3sJw0nGwsqQinvDKyo5qKxz4RD0fxODpo4UV/HZqU2wdOXNzbe6thto41+FTyiCVop532I0wfyzDK605iByrycBN2cJbVLET+XMqd+RG/Rk5XnYJhZ6epKnO4EQccjDf+xht29IHIJJawrbTlDC8CiMMzTCNP4dN2408Wh4Gl8Wg5ibieDu6JLFw38kyjTymuzEKLLbXYYgsttczyiimdPPL4G32Ya+wbeoi6Lst6eFKPNtuxNnHe+ASRb1BBbgT4GUPo8wx3hWPWmjrJ/NJLL7j40gswugDDyy7CGEPMLrjU8kondcCBxx+0lILH0cgy1cs89zrsBOYZ2/DHAg5Tm9NdhCoJOAKjdNAW+3DndRNTRzOMcQxfmA8Yu3AfMHyRC2NwcBcmNEYucCELUdiBFqbQQyXYlTRG1CEVQQuf4RB1D7jIRTH+DzQAUCg1BiHk43uWeU0Bs9ONZfgCF7ijBSxeQUVYzKIWt8iFLnhhwl/sgoS/wMUrNAGHO1TiXCnb3D2ssY6ZvW5a1/DHEQ6jL4lQ5QM+w0o34CS1JS5oGi1IHByGN8g3FJJxjxDFK2qBi2IMgxe+8MUIazGKMk6CYZOggw0I6Ee8teUex0kOVCRCJC2cAQj3WAtx/Ci2dVQjFXa4hNpmmbZF6OFxdsDEK27xi17uope1EAUc9uAnl8XLc25cYpyu8YzCXKWBEZmJV/jCRx12shvzCEUe+pCnpHnzVI+g3CT68DhLvGKLT/zlLMjIiEdEgg6siJg130gct/igMy7+0VlDFtASH9wjZKtkpXDGgY16eAIOtajFG86FLsy1bFmWsMMU3/AKXAgjjMHgxSvssIdL1GEV0QCXQJmYjnVcAxqF6cJ/HmKALgxhHtCYR0BHSq9r2OMSeChFDDOHiMgBEBGPEFUi9DCKUpCTorjoBTFyIYxbaMINeEhFNaI30vu4px5E0EL2GNIBA2iBCKixjsxaQ1PWYMMemQBEHvKgPBoiwhb+A+BajfWItZ7NEoY8Zy988ctXzEEV0VCHOspqwB3ZgweU8ptC8qkFMXzNgoQdBzfoAYo8TEJUiADE0RABC1DswVTCi0Us3jCqoNLQXMSrhS8g6YtZrGJeVaX+13fCExcHNiRNPTMNdZbERIHaRxuosMO5LLEJQCAMDn04Wh/0UIpS+AETxkVZuyaHiDeYIpIoTIY6yMrK++xIP2jggk+WI5GiHGU3O/CNwOaZndipgA6RWMQbPgGLO7TskqXlRCL64AZZ2OINyluecYlnCxMqY7ACXU06wKShM0QBmhNBjxCls9uYXbCAsSsaJfrwisrSVbp78IQtMJEIQHRCFH1gFtMW4QdNgAIQn9AELYzBjMEmU3zA+e5+PBMUfU5EJgJBwsXaU01luhIf7MrDLV4BYLWyjGlnEwUs9OCHPPyUrkjtLy3eIAtnQPaNl8FQeLxSx4vwKwrSORD+by+cnbGhYhRMBkSJLSGK6KKsD5bwA4AThrJHJCIRf+jEKFJMBxZ4Tof3UUd+7pkcgax0I9lyAnrdY0Frxq4GdcAEyp77iugeTXivkMUbGLGIbS4iuXfQcydMYQvjJuIe1biO+GqK0tk4QU2KxQ100gyNHF2QLdxIR3CLCYgZAgK/WA41gPtQClD4gRMcBsUrpPiGS8xhBa/ajnehYRzk9I0kjpE0GEpUzbvJyQZ0ONgi7mAKJhOPYY+4wxtQ9QZavOIRt7hEKTYhCj/IWY1Bm3VgtAGe2UTBKJAaCb+6YqBeJ/Fu65iGydSd2UW0UA/MAipD38BvTeihFqUAsDH+o2WfgeHHOGAQJRBRsrUjdMEL5K40cLhRj1DYgeJvLcUdGFGq6U6i3v9FxCcuMSqHsUIaEgubSZspHsTccSUL5573gvOad1QDHzg9mKnenbKujwoQmIDuImwhijxYGxXzsNtrvLTozgBpKLk5bxcoWOTY6cOjlGgXstkFQHQBIrqm0AQj5oCKegQcNsz0R9MhLBXAoaF7vY7ZxOSED1SUq5jebBvC0KWHPcxhFfMImOHsiZzP5NomLZ/gjnz1DmnMYwV3EG6x2HWHUjAZs6jKOx0mQQNriDUwibc142+Dnq8UKB8ODzOX+JGKOtCheHuiHIlBpao8zKEPrMCHPBH+1e0sjPfR5gFyBL0w9z0KTE7W+AcrMkGHO93hDnjAgx2oVIdPrEAf06jG57pjjVozMGtCMhBEYiRDkCQiZR8QYg820AKrgAqhAAqogAqsAAP9QA8rInPcxmjfFoAFESI7kQX+YH4KVhnWECEJMg/ykA0RUiHLJBtegXC2xYECiBdGYkQhYxnAUR/dwA3aYDfrwCBK90k/MAZW8BQJsFUy2IFhIUEg+CYCAx/aEYWIF0dHQBtPl4QKgVuUciSX4jr0xENM4X0AiIUMIX4fyCtFJnAm0kxWcWuPEoNkqBADeAZBYIA4qB08BBdZYHpxaEfZEgVi0CbcEDDmphX+YBVoB3eFfQgRZDEgYxAE/xSFz3APQ1iEHtBVcLiIDhEiEtQmzwAwzQSIRzB8mkgRxWckkNhDZyCGR1iKGpEbayIGRVAE/5dwrogRROIBRzFKt9gREESKvRiMwjiMxFiMxniMyJiMyniMAQEAIf4AOw=="
16,Brunei,
17,Bulgaria,"data:image/gif;base64,R0lGODlheABQAMQHAACgQODIyOgQGNiAiDiAQJCwmBCgWPj4+OgYIOjo8OCgoACgUNggKPAQIACoUPD48BioYCioaODg6HjAoODg4IjAqOAoMPDw8ECASACgSAioWIDAoNiIiOjg6OggMNgoMCH5BAkAAAcALAAAAAB4AFAAAAX+IHWNZGmeaKqubOu+a3Il4mHfeK7vfO//wKAwKLkMj8ikckk0Mp/QqNRWnFqvWF41y+1Gt96wWAgem8+4MnotVrPfWTd8LpXT70s7fj/U8/8+foCDOYKEh4aHg4mKf4yNe4+Qd5KTc5WWb5iZaxIJnJA1oIodEg+nqKmqq6ytrq+wsbKzshQRELi5uru8vb6/wMHCw8TDFQsZycrLzM3Oz9DR0tPU1dMAEwYL29zd3t/g4eLj5OXm5+UZ2ejs7e7v8Onr8fT19vfI8/j7/P3e6tr8CRxYDyDBgwjRGUzIsOE/fQ4jIlwoseJAihYz7sOosSM9jh5DtgMpsqS8gCb+U55UyXIcyZYtX8JUKXOmyZo2ReLM6XEnT40+f1oMKlQi0aIOM2zQ4KCp06dQo0qdSrWq1atYs15Vh4GA169gw4odS7as2bNo06pNW8BDg7dw48qdS7eu3bt48+rdq5fDBwSAAwseTLiw4cOIEytezFixAA4WGkueTLmyZceQL2vezLkz4MeRPYseTZow6NKoU3M+rbq1a8asX8ueLTg27duubePeXVo379+dfQMfblk48eONjSNfjlg58+eDnUOfLn368+rWl2PPfnw79+Hev/8OL343+fK3z6Of/ZiBgPfw48ufT7++/fv48+vfr3+Agv8ABijggAQWaOCBCCYHqOCCCwYQAgAh/gA7"
18,Cambodia,
19,Cameroon,
20,Canada,"data:image/gif;base64,R0lGODlheAA8APeYAP38/P38/P38/P38/P38/P39/f39/f39/f79/f79/f79/f79/f79/v79/v79/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v3+/vz+/vz+/vz+/vz+/vz+/vz+/v3+/v3+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v7+/v79/f79/f38/P37+/37+/37+/37+/z6+vz6+vz6+vz6+vz6+vz5+fz5+fv4+Pv39/v29vr19fj09Pbw8PXu7vTt7fPs7PHr7O/r6+3r6+3q6uzq6uzq6uzp6evo6Onm5+bj5OPg4eXf4Obf4Ore3+ze3/Dd3fHa2/LX2PLR0vLLzPPFx/S/wfS5u/SytPOrrvGkp+6coOqUmOWOkuGHjNl8gdh6f9d5ftd4fdd4fdl2e910eeBxd+JudeFsc95qct5qcd9ocOFmbeVgZ+RaYeZXXuhTWuxOVe5KUe9IT+9IT+1IT+pHTuhGTeZFTOVFS+ZESuZDSedCSOlAR+w+Re49RO47Q+47Q+46Qu45QO02Pu0zO+0vN+wqMuwnL+wlLewiKuwgKeweJ+wdJuwdJewcJewbJOwbI+wbI+wbJOwbJOwcJOwcJOwcJOwcJOwcJOwcJOwbJOwbJOwbJOwbI+wbI+wbI+wbI+wbI+wbI+wbI+wbI+wbI+wbI+wbI+wbI+wbI+wbI+wbI+wbI+wbI+wbI+wbI+waI+waI+waI+waI+waI+waI+waI+waI+waI+waI+waI+waI+waI+waI+waI+waI+waI+waI+waI+waI+waI+wZIu0YIe0XH+0WH+0WH+0VHu0VHu0VHu0VHu0VHu0VHu0VHu0VHu0VHu0VHu0UHewUHewUHOwTHOwTHOwTHOsTG+sTG+sTG+sSG+sSG+sSG+sSG+sSGusSGusRGusRGesQGesPGOsOF+oMFeoLFOoKE+oJEuoJEuoJEuoJEiH5BAgAAJgALAAAAAB4ADwAAAj+AOv4+UOwoMGDCA8CwnNlyhQrDiNKnEixosWLGB3WATQwocePgNwcOuWJpKeTKFOqXEny3CMiFhZYoECzps2bOHPq3KnzgAMKhNCVXEm0KEpsehQtW8q0qdOnTluti0QkxgKeWLNq7UkhxiB5n6xBHTu2VTk9iVotE0u2LdNW8SIFidE1ht27ePPqtduV5t6/gPkuiEFoXSu2btuazZNo1qxls1pJnky5suVZn6ZWPbBVJ12aFnx+7pyTs9d4nyBbXs0aMzi0rR5HZk17MmZ1j3rQDcx7NIUjSCz83N37r9/CqWfXpu2acWzVy5l/wq27bvG9XYlcUKMmRo+Z143+d0UOPfrq5mllm289PTfx8He7Xl0QwJGjAAsGW4fPd/y65Oud9wk4zqkXYGW3ubcff3T1QIEZ7ZxjhgVE+MVgf4T9V96BkqH3nHIcxtZeddfp5EAAFvghjzx/XODgTDiV6B+AIXY4YIEbcpggifxZqB0Z2HTyiTZleNfXfguKlyGNNXpoYJMjvsdbTcFZcAQFRGjwBz6ccILPHwcQEQAQFliARE0yLpnjgU6uGeCOUgZGwVVi1MHEBUfEYMY9nzzmST1mXJDEBUzIIYYGOlg45YxurtcmiDpGmaSSSmBSyYRKRCJPJ0t5MtWdZlCCiRLCKSono5CyeWN6jZoH56T+fzlwwAV98INNH4BsutRhn9ATSB/W8NOHVbBih2qNNhLIaqpvSipjDxq4gc8m+NDjyVKPLdUJPdPm4wYF35kK2HEaMuvoqh8iKyJ1cY5LQQAaoMGlkMtIVq+9n3TSyT1ovGtBeOQyGeKj6r7qLl1XUXCABWBcq5Zjqu1a7zKchEHsnH2dqqa5rqL75MDOymmXfhQgMYk5qdH2iTmTnEnTYMUF3Gp0BCNrsF8L9JBwV2aGYUEA4KZ4Dyf3WkYxPn1cAASWF4Th8mc564cheRzT7PHMyxnM11096BxAD1hgckYMRFTYRj6bFE1ZvZvo44YGZV9wBiZY9IBf1/HFd6z+zVdXnbWzGINhRhJlXmDBBWzwswkZgsZwhj2crrYUJ/xeoMQFY2jCDxsXGB6DBUmYAca7U5dbcN+ns9vVASiCwUkld6ABBhRpeLLyJWBYBcYmYp0HWSdgaHABGJeY40knaUABBhp2VAJ8DAGULnCkyqbLt+oxcBYArfzcc48mmMRzzSydrEMJFBYwEYlh57VijiR3QjFJPJwcFs8lmXgv7M91yex3bTWDEvayowE1TOsT18DGJ9RiDU7kYxBNuEAg+CS5T9gDEBZoQiHywal6fQIb1/jEJvKhBnDBzH+nq97HIjVA0oXhFOXJ1jI6kY9ApKES4GDNUs5hiTQEAh/+kVPLZNbSCosBTXpYAyDqrqcgwVAgCJFQBwztJUNP0CMf2BCi0SBzjXzE41pqk8wn0NGymTgAif+TjgqTKB3s8SVRfgDivWQDmRnWL4xDFCInIrcrynTiSxoAWv/2BqU1ppE9LQRdAO7AQbXVsY5avEwds8WsTugDDwdIAgVghEK+GTJ1TQRN5wRhj5Spyzy9EkTniNPJQuLokALC3lWSgAY/gEOGeDzlELEFjj+gIQmcQRPVUvhKUJKIdURwgz8U2Edd1mYZH+SHG5DgIGGazpPFZCKJaLKwM2xCHWl7izN3uZRNrGMTZ7hAAA4wmo0Rc1nGfI8FenABMVAiH0T+m9g4bUMxfVBiDEpDUytB9klt7gZNMIECIPbRCbVAElmQrBcn9hEI9BHhJ0ciJEGzKcAm6g1aRKgDPqyRMlhKTi1hyUcdgnCAPMEMje+0Xkd5dFDvbG8N4NBGPh/DoUdSDBvmWMPPomcTmGITngadFE2AILdM0GOnbOwQUzhBj0xMCD9KGuZRZQoyN+qtKw74jhgioY8ORjI6TPFEPiQhBiMJFC8DpR5Hu+pRvfjFCBdogh9KiS3H0NGhVJThJ+ThBye4SFxw1ahckTrTdh2UJjDZwB/sAcOJ9fGygIXmPf6ggRgAoabGcudWV6gqrxonBoRbAz+I1opPdKl+C2z+rQi7tMBZcIIfa8ATmg6mVVcylq40FQ89+yCPTbTiGurAhz/0AY5zXMMa6gBHPvaBD3NYoxWboIcf1FksvYnWt1xlYV2NQ88y5CMf+oAcJQDxBjWM4Qye4MQZyKCGNwCCEpTbx3SLVE2N9XajvxVvcLHTgwPYwRF4YMMZwsCEMtnlApawBF7SF4YzsAEPj7hDWBGb2O8COLylHS92vAOFz32uTGEiwgKccAlMOGEBRNBZ4WLQOSiQzL/XBC9pm2Xa0NLla/gBK4qgkIlMlFiQcwJy/xzr3f8uFsQ8FrGxdBITC2hBE5vIQgx04JubMLnJOf7wjs/VY/5YQAcMO0n+7qJ3ITBPT1UFbWx3ewOuGIhhKW3VTZuNquOoxlLK8CHdGLCBjTFAb898FrOfLxOyNte5DOAAB38R/RkPP3nMHSszfMKqp3Kowwxko3Rc4TxXAX85Zg46wzWucYY6I3rUzYozcE9N56qkgR/8SEOoX61YUgc4xAM2s0zEsIY1hIF0vLa0r6FMZrlkjzQ5yd4FTpxRaNfENE4+EDTL4ZxTzOIU4A63uMdNbnB7whwvUZi1cxKAI6h43Tg5wFUI0Q5PtKLc+Ma3J7SRB0ZoQxs5/bfAB07wgv8bG/iYBJspzfDADAIf2Ai4wSdecGzYYw9tkIMc4sDxjnv84yD3OB0d3LCFkpv85ChPucpXzvKWo7wNdQi5zGe+cTqsISAAIf4AOw=="
21,Chad,
22,Chile,
